Taiwan,neutral
econom,neutral
minist,neutral
Wang,neutral
Chihkang,neutral
said,neutral
Saturdai,neutral
would,neutral
best,neutral
bring,neutral
island,neutral
econom,neutral
growth,neutral
percent,neutral
year,neutral
despit,neutral
pessimist,neutral
forecast,neutral
statist,neutral
bureau,neutral
Director,negative
Gener,negative
Budget,negative
Account,negative
Statist,negative
Fridai,negative
revis,negative
forecast,negative
gross,negative
domest,negative
product,negative
percent,negative
well,negative
below,negative
predict,negative
percent,negative
issu,negative
three,negative
month,negative
Wang,neutral
quot,neutral
statefund,neutral
Central,neutral
Agenci,neutral
ministri,neutral
would,neutral
reviv,neutral
slow,neutral
economi,neutral
promot,neutral
invest,neutral
project,neutral
total,neutral
billion,neutral
bring,neutral
whole,neutral
year,neutral
econom,neutral
growth,neutral
percent,neutral
econom,positive
ministri,positive
would,positive
take,positive
measur,positive
boost,positive
local,positive
manufacturerss,positive
invest,positive
willing,positive
provid,positive
incent,positive
foreign,positive
invest,positive
Wang,positive
quot,positive
Taiwan,neutral
minist,neutral
bring,neutral
