1  called  Synset('visit.v.03')
1  off  Synset('off.s.05')
2  were  Synset('embody.v.02')
2  called  Synset('call.v.20')
2  off  Synset('off.s.02')
2  on  Synset('on.r.03')
2  Thursday  Synset('thursday.n.01')
2  after  Synset('subsequently.r.01')
2  a  Synset('deoxyadenosine_monophosphate.n.01')
2  union  Synset('union.n.10')
3  will  Synset('bequeath.v.01')
3  now  Synset('nowadays.r.01')
3  be  Synset('exist.v.01')
3  spared  Synset('spare.v.04')
3  24-hour  None
3  strikes  Synset('strike.n.05')
4  sent  Synset('station.v.01')
4  a  Synset('deoxyadenosine_monophosphate.n.01')
4  letter  Synset('letter.v.01')
5  threw  Synset('throw.v.14')
5  out  Synset('out.s.04')
5  a  Synset('deoxyadenosine_monophosphate.n.01')
5  deal  Synset('share.v.04')
6  blamed  Synset('blame.v.01')
6  the  None
6  new  Synset('newfangled.s.01')
6  rash  Synset('rash.n.01')
7  has  Synset('take.v.35')
7  declined  Synset('worsen.v.01')
7  previous  Synset('previous.s.03')
7  offers  Synset('volunteer.v.02')
8  was  Synset('be.v.05')
8  considering  Synset('view.v.02')
8  the  None
8  latest  Synset('up-to-the-minute.s.01')
8  request  Synset('request.v.01')
9  staged  Synset('staged.a.01')
9  the  None
9  sixth  Synset('sixth.s.01')
10  feel  Synset('feel.v.08')
10  insecure  Synset('insecure.s.04')
11  are  Synset('embody.v.02')
11  on  Synset('on.r.03')
11  short-term  Synset('short-run.s.01')
11  contracts  Synset('sign.v.04')
11  --  None
11  all  Synset('wholly.r.01')
11  ideas  Synset('idea.n.01')
12  have  Synset('induce.v.02')
12  led  Synset('light-emitting_diode.n.01')
12  to  None
12  a  Synset('deoxyadenosine_monophosphate.n.01')
12  situation  Synset('situation.n.03')
13  will  Synset('will.n.02')
13  now  Synset('nowadays.r.01')
13  be  Synset('exist.v.01')
13  spared  Synset('spare.v.04')
13  24-hour  None
13  strikes  Synset('strike.n.05')
13  that  None
13  had  Synset('hold.v.03')
13  been  Synset('exist.v.01')
13  scheduled  Synset('scheduled.a.01')
13  for  None
13  Friday  Synset('friday.n.01')
13  and  None
13  next  Synset('next.r.01')
13  Tuesday  Synset('tuesday.n.01')
14  asking  Synset('ask.v.07')
14  for  None
14  more  Synset('more.n.01')
14  talks  Synset('talk.n.02')
15  said  Synset('aforesaid.s.01')
15  it  Synset('information_technology.n.01')
15  was  Synset('be.v.05')
15  considering  Synset('view.v.02')
15  the  None
15  latest  Synset('up-to-the-minute.s.01')
15  request  Synset('request.v.01')
16  was  Synset('be.v.05')
16  considering  Synset('view.v.02')
16  the  None
16  latest  Synset('up-to-the-minute.s.01')
16  request  Synset('request.v.01')
17  has  Synset('hour_angle.n.02')
17  been  Synset('embody.v.02')
17  on  Synset('on.r.03')
17  the  None
17  rise  Synset('rise.n.02')
17  in  Synset('in.r.01')
17  Britain  Synset('united_kingdom.n.01')
17  recent  Synset('late.s.03')
17  months  Synset('calendar_month.n.01')
17  after  Synset('after.r.02')
17  several  Synset('several.s.01')
17  years  Synset('year.n.03')
17  of  None
17  relative  Synset('relative.n.02')
17  calm  Synset('calm_air.n.01')
18  blamed  Synset('blame.v.01')
18  the  None
18  new  Synset('modern.s.05')
18  rash  Synset('rash.n.02')
18  of  None
18  strikes  Synset('strike.n.05')
18  on  Synset('on.r.03')
18  growing  Synset('growth.n.01')
18  job  Synset('job.n.12')
18  insecurity  Synset('insecurity.n.02')
18  in  Synset('in.r.01')
18  both  Synset('both.s.01')
18  public  Synset('public.s.02')
18  and  None
18  private  Synset('private.n.01')
18  sectors  Synset('sector.n.01')
19  are  Synset('be.v.05')
19  on  Synset('on.r.03')
19  short-term  Synset('short-run.s.01')
19  contracts  Synset('contract.n.02')
19  and  None
19  performance-based  None
19  pay  Synset('wage.n.01')
19  --  None
19  all  Synset('wholly.r.01')
19  ideas  Synset('idea.n.01')
19  that  None
19  were  Synset('be.v.05')
19  introduced  Synset('introduce.v.07')
19  during  None
19  the  None
19  1980s  Synset('eighties.n.02')
20  have  Synset('induce.v.02')
20  led  Synset('light-emitting_diode.n.01')
20  to  None
20  a  Synset('deoxyadenosine_monophosphate.n.01')
20  situation  Synset('situation.n.02')
20  where  None
20  people  Synset('people.v.02')
20  do  Synset('serve.v.09')
20  not  Synset('not.r.01')
20  feel  Synset('feel.v.05')
20  tranquil  Synset('placid.s.01')
20  in  Synset('indium.n.01')
20  their  None
20  employment  Synset('employment.n.03')
21  leads  Synset('spark_advance.n.01')
21  to  None
21  all  Synset('all.a.01')
21  kinds  Synset('kind.n.01')
21  of  None
21  tensions  Synset('tension.n.06')
22  told  Synset('tell.v.07')
22  Channel  Synset('transmit.v.04')
22  Four  Synset('four.s.01')
22  news  Synset('newsworthiness.n.01')
