Conti,positive
whose,positive
fortun,positive
tend,positive
mirror,positive
those,positive
German,positive
industri,positive
said,positive
sale,positive
first,positive
half,positive
year,positive
increas,positive
billion,positive
mark,positive
from,positive
billion,positive
year,positive
earlier,positive
FOCUSContinent,positive
higher,positive
profit,positive
Germani,positive
largest,positive
tyre,positive
maker,positive
Continent,positive
Tuesdai,positive
said,positive
pretax,positive
profit,positive
more,positive
than,positive
doubl,positive
million,positive
mark,positive
million,positive
first,positive
half,positive
fullyear,positive
earn,positive
would,positive
clearli,positive
higher,positive
letter,positive
sharehold,positive
world,positive
fourthlargest,positive
tyre,positive
maker,positive
said,positive
surg,positive
profit,positive
half,positive
year,positive
driven,positive
intern,positive
cost,positive
control,positive
measur,positive
increas,positive
product,positive
favour,positive
exchang,positive
rate,positive
environ,positive
increas,positive
profit,positive
half,positive
came,positive
despit,positive
insecur,positive
about,positive
Germani,positive
weak,positive
economi,positive
profit,positive
improv,positive
area,positive
group,positive
activ,positive
said,positive
Manag,positive
board,positive
chairman,positive
Hubertu,positive
Gruenberg,positive
forecast,positive
doubl,positive
profit,positive
group,positive
annual,positive
gener,positive
meet,positive
June,positive
