Inco,neutral
final,neutral
take,neutral
control,neutral
Diamond,neutral
Field,neutral
bounti,neutral
Nickel,neutral
giant,neutral
Inco,neutral
after,neutral
best,neutral
suitor,neutral
face,neutral
down,neutral
legal,neutral
challeng,neutral
said,neutral
said,neutral
Wednesdai,neutral
that,neutral
final,neutral
close,neutral
billion,neutral
billion,neutral
takeov,neutral
Diamond,neutral
Field,neutral
Resourc,neutral
close,neutral
give,neutral
Inco,neutral
alreadi,neutral
world,neutral
biggest,neutral
nickel,neutral
miner,neutral
lead,neutral
role,neutral
nickel,neutral
market,neutral
year,neutral
come,neutral
with,neutral
acquisit,neutral
massiv,neutral
coppercobaltnickel,neutral
deposit,neutral
remot,neutral
Voisei,neutral
Labrador,neutral
northeastern,neutral
Canada,neutral
Diamond,neutral
Field,neutral
sharehold,neutral
choic,neutral
take,neutral
common,neutral
share,neutral
Inco,neutral
cash,neutral
maximum,neutral
million,neutral
million,neutral
prefer,neutral
share,neutral
Inco,neutral
class,neutral
share,neutral
particip,neutral
directli,neutral
Voisei,neutral
deposit,neutral
Inco,neutral
said,neutral
Wednesdai,neutral
full,neutral
million,neutral
paid,neutral
compani,neutral
also,neutral
distribut,neutral
total,neutral
million,neutral
common,neutral
share,neutral
million,neutral
Inco,neutral
class,neutral
share,neutral
million,neutral
prefer,neutral
share,neutral
part,neutral
acquisit,neutral
