monthli,false,No,1,0,0,mixed-uncertain
trade,false,No,1,0,0,mixed-uncertain
report,false,No,1,0,0,mixed-uncertain
commerc,false,No,1,0,0,mixed-uncertain
farm,false,No,1,0,0,mixed-uncertain
export,false,No,1,0,0,mixed-uncertain
billion,false,No,1,0,0,mixed-uncertain
june,false,No,1,0,0,mixed-uncertain
down,false,No,1,0,0,mixed-uncertain
from,false,No,1,0,0,mixed-uncertain
billion,false,No,1,0,0,mixed-uncertain
trader,false,No,2,1,0,mixed
said,false,No,2,1,0,mixed
fact,false,No,2,1,0,mixed
that,false,No,2,1,0,mixed
stock,false,No,2,1,0,mixed
bottom,false,No,2,1,0,mixed
second,false,No,2,1,0,mixed
resist,false,No,2,1,0,mixed
level,false,No,2,1,0,mixed
point,false,No,2,1,0,mixed
rebound,false,No,2,1,0,mixed
good,false,No,2,1,0,mixed
sign,false,No,2,1,0,mixed
that,false,No,2,1,0,mixed
stock,false,No,2,1,0,mixed
consolid,false,No,2,1,0,mixed
prepar,false,No,2,1,0,mixed
rise,false,No,2,1,0,mixed
again,false,No,2,1,0,mixed
what,false,No,3,0,1,mixed
down,false,No,3,0,1,mixed
record,false,No,3,0,1,mixed
shortest,false,No,3,0,1,mixed
market,false,No,3,0,1,mixed
correct,false,No,3,0,1,mixed
ever,false,No,3,0,1,mixed
jone,false,No,3,0,1,mixed
industri,false,No,3,0,1,mixed
averag,false,No,3,0,1,mixed
week,false,No,3,0,1,mixed
came,false,No,3,0,1,mixed
within,false,No,3,0,1,mixed
skip,false,No,3,0,1,mixed
jump,false,No,3,0,1,mixed
time,false,No,3,0,1,mixed
high,false,No,3,0,1,mixed
after,false,No,3,0,1,mixed
plung,false,No,3,0,1,mixed
late,false,No,3,0,1,mixed
juli,false,No,3,0,1,mixed
london,false,No,0,0,1,mixed
stock,false,No,0,0,1,mixed
record,false,No,0,0,1,mixed
tokyo,false,No,0,0,1,mixed
nikkei,false,No,0,0,1,mixed
fall,false,No,0,0,1,mixed
bours,false,Yes,1,0,2,mixed
trade,false,Yes,1,0,2,mixed
index,false,Yes,1,0,2,mixed
down,false,Yes,1,0,2,mixed
point,false,Yes,1,0,2,mixed
point,false,Yes,1,0,2,mixed
from,false,Yes,1,0,2,mixed
last,false,Yes,1,0,2,mixed
week,false,Yes,1,0,2,mixed
demand,false,No,2,0,1,mixed
other,false,No,2,0,1,mixed
commod,false,No,2,0,1,mixed
dull,false,No,2,0,1,mixed
trade,false,No,2,0,1,mixed
world,false,Yes,3,0,1,mixed
commod,false,Yes,3,0,1,mixed
price,false,Yes,3,0,1,mixed
mostli,false,Yes,3,0,1,mixed
dull,false,Yes,3,0,1,mixed
week,false,Yes,3,0,1,mixed
littl,false,Yes,3,0,1,mixed
chang,false,Yes,3,0,1,mixed
fridai,false,Yes,3,0,1,mixed
with,false,Yes,3,0,1,mixed
crude,false,Yes,3,0,1,mixed
close,false,Yes,3,0,1,mixed
highest,false,Yes,3,0,1,mixed
level,false,Yes,3,0,1,mixed
four,false,Yes,3,0,1,mixed
month,false,Yes,3,0,1,mixed
sign,false,Yes,3,0,1,mixed
firm,false,Yes,3,0,1,mixed
demand,false,Yes,3,0,1,mixed
bours,false,Yes,1,0,2,mixed
trade,false,Yes,1,0,2,mixed
index,false,Yes,1,0,2,mixed
down,false,Yes,1,0,2,mixed
point,false,Yes,1,0,2,mixed
point,false,Yes,1,0,2,mixed
from,false,Yes,1,0,2,mixed
last,false,Yes,1,0,2,mixed
week,false,Yes,1,0,2,mixed
scott,false,Yes,2,0,1,mixed
down,false,Yes,2,0,1,mixed
hole,false,Yes,2,0,1,mixed
ralli,false,Yes,2,0,1,mixed
beat,false,Yes,2,0,1,mixed
finalist,false,Yes,2,0,1,mixed
buddi,false,Yes,2,0,1,mixed
marucci,false,Yes,2,0,1,mixed
year,false,No,3,0,0,mixed
kucera,false,No,3,0,0,mixed
score,false,No,3,0,0,mixed
biggest,false,No,3,0,0,mixed
victori,false,No,3,0,0,mixed
seven,false,No,3,0,0,mixed
year,false,No,3,0,0,mixed
career,false,No,3,0,0,mixed
tour,false,No,3,0,0,mixed
produc,false,No,3,0,0,mixed
aggress,false,No,3,0,0,mixed
servic,false,No,2,1,1,mixed
consist,false,No,2,1,1,mixed
ground,false,No,2,1,1,mixed
stroke,false,No,2,1,1,mixed
while,false,No,2,1,1,mixed
chang,false,No,2,1,1,mixed
uncharacterist,false,No,2,1,1,mixed
errat,false,No,2,1,1,mixed
mondai,false,No,3,1,2,mixed
gener,false,No,3,1,2,mixed
index,false,No,3,1,2,mixed
rose,false,No,3,1,2,mixed
percent,false,No,3,1,2,mixed
point,false,No,3,1,2,mixed
while,false,No,3,1,2,mixed
blue,false,No,3,1,2,mixed
chip,false,No,3,1,2,mixed
select,false,No,3,1,2,mixed
index,false,No,3,1,2,mixed
fell,false,No,3,1,2,mixed
percent,false,No,3,1,2,mixed
exist,false,No,0,0,1,mixed
home,false,No,0,0,1,mixed
sale,false,No,0,0,1,mixed
peak,false,No,0,0,1,mixed
record,false,No,0,0,1,mixed
rate,false,No,0,0,1,mixed
million,false,No,0,0,1,mixed
year,false,No,0,0,1,mixed
befor,false,No,0,0,1,mixed
start,false,No,0,0,1,mixed
lose,false,No,0,0,1,mixed
momentum,false,No,0,0,1,mixed
june,false,No,0,0,1,mixed
juli,false,No,0,0,1,mixed
carrier,false,Yes,2,2,1,mixed
post,false,Yes,2,2,1,mixed
profit,false,Yes,2,2,1,mixed
million,false,Yes,2,2,1,mixed
mark,false,Yes,2,2,1,mixed
first,false,Yes,2,2,1,mixed
month,false,Yes,2,2,1,mixed
sharpli,false,Yes,2,2,1,mixed
below,false,Yes,2,2,1,mixed
year,false,Yes,2,2,1,mixed
period,false,Yes,2,2,1,mixed
million,false,Yes,2,2,1,mixed
although,false,Yes,2,2,1,mixed
slightli,false,Yes,2,2,1,mixed
better,false,Yes,2,2,1,mixed
than,false,Yes,2,2,1,mixed
estim,false,Yes,2,2,1,mixed
juli,false,Yes,2,2,1,mixed
that,false,Yes,2,2,1,mixed
profit,false,Yes,2,2,1,mixed
would,false,Yes,2,2,1,mixed
drop,false,Yes,2,2,1,mixed
million,false,Yes,2,2,1,mixed
mark,false,Yes,2,2,1,mixed
stock,false,Yes,4,0,2,mixed
london,false,Yes,4,0,2,mixed
start,false,Yes,4,0,2,mixed
week,false,Yes,4,0,2,mixed
badli,false,Yes,4,0,2,mixed
after,false,Yes,4,0,2,mixed
three,false,Yes,4,0,2,mixed
weekend,false,Yes,4,0,2,mixed
slip,false,Yes,4,0,2,mixed
percent,false,Yes,4,0,2,mixed
bargain,false,Yes,4,0,2,mixed
hunter,false,Yes,4,0,2,mixed
later,false,Yes,4,0,2,mixed
move,false,Yes,4,0,2,mixed
ftse,false,Yes,4,0,2,mixed
index,false,Yes,4,0,2,mixed
recov,false,Yes,4,0,2,mixed
most,false,Yes,4,0,2,mixed
lost,false,Yes,4,0,2,mixed
ground,false,Yes,4,0,2,mixed
onli,false,Yes,4,0,2,mixed
just,false,Yes,4,0,2,mixed
ground,false,Yes,4,0,2,mixed
mountain,false,No,2,0,2,mixed
view,false,No,2,0,2,mixed
calif,false,No,2,0,2,mixed
base,false,No,2,0,2,mixed
netscap,false,No,2,0,2,mixed
stock,false,No,2,0,2,mixed
cent,false,No,2,0,2,mixed
while,false,No,2,0,2,mixed
appl,false,No,2,0,2,mixed
rose,false,No,2,0,2,mixed
cent,false,No,2,0,2,mixed
both,false,No,2,0,2,mixed
earli,false,No,2,0,2,mixed
trade,false,No,2,0,2,mixed
nasdaq,false,No,2,0,2,mixed
dollar,false,No,1,0,1,mixed
close,false,No,1,0,1,mixed
against,false,No,1,0,1,mixed
major,false,No,1,0,1,mixed
