What,negative
were,negative
concern,negative
about,negative
rippl,negative
effect,negative
bring,negative
will,positive
welcom,positive
relief,positive
centanhour,positive
increas,positive
will,positive
have,positive
littl,positive
shortterm,positive
impact,positive
rais,negative-uncertain
price,negative-uncertain
after,negative-uncertain
minimum,negative-uncertain
wage,negative-uncertain
hike,negative-uncertain
also,negative
translat,negative
into,negative
higher,negative
price,negative
hamburg,negative
pizza,negative
other,negative
fastfood,negative
item,negative
