Seoul,negative
court,negative
hand,negative
death,negative
Chun,negative
year,negative
South,negative
Korean,negative
court,negative
sentenc,negative
former,negative
presid,negative
Chun,negative
Hwan,negative
death,negative
Mondai,negative
charg,negative
relat,negative
coup,negative
that,negative
thrust,negative
power,negative
presidenti,negative
successor,negative
Taewoo,negative
sentenc,negative
year,negative
prison,negative
similar,negative
charg,negative
mastermind,negative
putsch,negative
attempt,negative
murder,negative
superior,negative
offic,negative
time,neutral
both,neutral
were,neutral
armi,neutral
gener,neutral
Howev,neutral
Chun,neutral
clear,neutral
separ,neutral
charg,neutral
murder,neutral
connect,neutral
with,neutral
armi,neutral
massacr,neutral
prodemocraci,neutral
protest,neutral
southern,neutral
citi,neutral
Kwangju,neutral
Both,negative
were,negative
found,negative
guilti,negative
take,negative
bribe,negative
