Morton,neutral
Downei,neutral
file,neutral
Former,negative
talk,negative
show,negative
host,negative
Morton,negative
Downei,negative
contract,negative
lung,negative
cancer,negative
plan,negative
tobacco,negative
industri,negative
Kansa,negative
Citi,negative
firm,negative
Steven,neutral
Kramer,neutral
Downei,neutral
York,neutral
Citi,neutral
lawyer,neutral
told,neutral
Reuter,neutral
that,neutral
suit,neutral
will,neutral
file,neutral
next,neutral
month,neutral
Jersei,neutral
Downei,neutral
live,neutral
Sherman,neutral
want,neutral
speak,neutral
stop,neutral
young,neutral
peopl,neutral
from,neutral
veri,negative
angri,negative
tobacco,negative
compani,negative
tell,negative
truth,negative
